task,model,seed,fold,threshold,splitter,split
secondary,opcode_rf,7702,2,0.22333333333333333,StratifiedGroupKFold,random
secondary,opcode_rf,7702,3,0.31333333333333335,StratifiedGroupKFold,random
secondary,opcode_rf,7702,4,0.24333333333333335,StratifiedGroupKFold,random
secondary,opcode_rf,7703,0,0.29,StratifiedGroupKFold,random
secondary,opcode_rf,7703,1,0.32666666666666666,StratifiedGroupKFold,random
secondary,opcode_rf,7703,2,0.3,StratifiedGroupKFold,random
secondary,opcode_rf,7703,3,0.3,StratifiedGroupKFold,random
secondary,opcode_rf,7703,4,0.3333333333333333,StratifiedGroupKFold,random
secondary,opcode_rf,7704,0,0.26666666666666666,StratifiedGroupKFold,random
secondary,opcode_rf,7704,1,0.33199999999999996,StratifiedGroupKFold,random
secondary,opcode_rf,7704,2,0.23666666666666666,StratifiedGroupKFold,random
secondary,opcode_rf,7704,3,0.2833333333333333,StratifiedGroupKFold,random
secondary,opcode_rf,7704,4,0.31666666666666665,StratifiedGroupKFold,random
secondary,opcode_rf,7705,0,0.28483333333333327,StratifiedGroupKFold,random
secondary,opcode_rf,7705,1,0.34444444444444444,StratifiedGroupKFold,random
secondary,opcode_rf,7705,2,0.25,StratifiedGroupKFold,random
secondary,opcode_rf,7705,3,0.2419047619047619,StratifiedGroupKFold,random
secondary,opcode_rf,7705,4,0.24666666666666667,StratifiedGroupKFold,random
secondary,opcode_rf,7706,0,0.2961904761904762,StratifiedGroupKFold,random
secondary,opcode_rf,7706,1,0.3293333333333333,StratifiedGroupKFold,random
secondary,opcode_rf,7706,2,0.31333333333333335,StratifiedGroupKFold,random
secondary,opcode_rf,7706,3,0.3125,StratifiedGroupKFold,random
secondary,opcode_rf,7706,4,0.2955238095238095,StratifiedGroupKFold,random
secondary,opcode_xgb,7702,0,0.2308167964220047,StratifiedGroupKFold,random
secondary,opcode_xgb,7702,1,0.08284574002027512,StratifiedGroupKFold,random
secondary,opcode_xgb,7702,2,0.1601913571357727,StratifiedGroupKFold,random
secondary,opcode_xgb,7702,3,0.20653700828552246,StratifiedGroupKFold,random
secondary,opcode_xgb,7702,4,0.3758036494255066,StratifiedGroupKFold,random
secondary,opcode_xgb,7703,0,0.18440203368663788,StratifiedGroupKFold,random
secondary,opcode_xgb,7703,1,0.08333839476108551,StratifiedGroupKFold,random
secondary,opcode_xgb,7703,2,0.21562543511390686,StratifiedGroupKFold,random
secondary,opcode_xgb,7703,3,0.0471033938229084,StratifiedGroupKFold,random
secondary,opcode_xgb,7703,4,0.2035178393125534,StratifiedGroupKFold,random
secondary,opcode_xgb,7704,0,0.09113027155399323,StratifiedGroupKFold,random
secondary,opcode_xgb,7704,1,0.3421129882335663,StratifiedGroupKFold,random
secondary,opcode_xgb,7704,2,0.1037876084446907,StratifiedGroupKFold,random
secondary,opcode_xgb,7704,3,0.1718745082616806,StratifiedGroupKFold,random
secondary,opcode_xgb,7704,4,0.10859061032533646,StratifiedGroupKFold,random
secondary,opcode_xgb,7705,0,0.15451085567474365,StratifiedGroupKFold,random
secondary,opcode_xgb,7705,1,0.2055809497833252,StratifiedGroupKFold,random
secondary,opcode_xgb,7705,2,0.07775002717971802,StratifiedGroupKFold,random
secondary,opcode_xgb,7705,3,0.09820953011512756,StratifiedGroupKFold,random
secondary,opcode_xgb,7705,4,0.1958528757095337,StratifiedGroupKFold,random
secondary,opcode_xgb,7706,0,0.10744757950305939,StratifiedGroupKFold,random
secondary,opcode_xgb,7706,1,0.23012515902519226,StratifiedGroupKFold,random
secondary,opcode_xgb,7706,2,0.18518048524856567,StratifiedGroupKFold,random
secondary,opcode_xgb,7706,3,0.17460015416145325,StratifiedGroupKFold,random
secondary,opcode_xgb,7706,4,0.10030636191368103,StratifiedGroupKFold,random
secondary,selector_model,7702,0,0.16138678789138794,StratifiedGroupKFold,random
secondary,selector_model,7702,1,0.17320898175239563,StratifiedGroupKFold,random
secondary,selector_model,7702,2,0.16032864153385162,StratifiedGroupKFold,random
secondary,selector_model,7702,3,0.15746651589870453,StratifiedGroupKFold,random
secondary,selector_model,7702,4,0.23321965336799622,StratifiedGroupKFold,random
secondary,selector_model,7703,0,0.17111137509346008,StratifiedGroupKFold,random
secondary,selector_model,7703,1,0.3385816812515259,StratifiedGroupKFold,random
secondary,selector_model,7703,2,0.3268681466579437,StratifiedGroupKFold,random
secondary,selector_model,7703,3,0.3310762643814087,StratifiedGroupKFold,random
secondary,selector_model,7703,4,0.22075967490673065,StratifiedGroupKFold,random
secondary,selector_model,7704,0,0.1604159027338028,StratifiedGroupKFold,random
secondary,selector_model,7704,1,0.3242359459400177,StratifiedGroupKFold,random
secondary,selector_model,7704,2,0.33154574036598206,StratifiedGroupKFold,random
secondary,selector_model,7704,3,0.14930076897144318,StratifiedGroupKFold,random
secondary,selector_model,7704,4,0.14709867537021637,StratifiedGroupKFold,random
secondary,selector_model,7705,0,0.2516237497329712,StratifiedGroupKFold,random
secondary,selector_model,7705,1,0.18400920927524567,StratifiedGroupKFold,random
secondary,selector_model,7705,2,0.27496424317359924,StratifiedGroupKFold,random
secondary,selector_model,7705,3,0.15292231738567352,StratifiedGroupKFold,random
secondary,selector_model,7705,4,0.169464573264122,StratifiedGroupKFold,random
secondary,selector_model,7706,0,0.31113341450691223,StratifiedGroupKFold,random
secondary,selector_model,7706,1,0.17845696210861206,StratifiedGroupKFold,random
