fold,seed,model,condition,AUPRC,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
2,7702,source_balanced_aug,M3F200,0.7710710654441196,0.05517241379310345,0.0,0.5586206896551724,0.07006369426751592,0.6689655172413793,0.11146496815286625
2,7702,source_balanced_aug,adaptive_transfer,0.6051942169203852,0.020689655172413793,0.0031847133757961785,0.30344827586206896,0.10191082802547771,0.38620689655172413,0.11464968152866242
2,7702,tc_hard,cleanM0,0.7795938708117757,0.3448275862068966,0.0031847133757961785,0.43448275862068964,0.07643312101910828,0.5172413793103449,0.08917197452229299
2,7702,tc_hard,F200,0.7176092853005508,0.2206896551724138,0.022292993630573247,0.5586206896551724,0.09554140127388536,0.6068965517241379,0.14012738853503184
2,7702,tc_hard,M3F200,0.6173288984152142,0.2,0.03184713375796178,0.41379310344827586,0.10828025477707007,0.5172413793103449,0.1305732484076433
2,7702,tc_hard,adaptive_transfer,0.7901730963332468,0.30344827586206896,0.0031847133757961785,0.5103448275862069,0.07643312101910828,0.5793103448275863,0.08917197452229299
2,7703,clean,cleanM0,0.844037767712125,0.33793103448275863,0.009554140127388535,0.5310344827586206,0.041401273885350316,0.5310344827586206,0.041401273885350316
2,7703,clean,F200,0.5760218991206155,0.013793103448275862,0.0,0.10344827586206896,0.03821656050955414,0.10344827586206896,0.03821656050955414
2,7703,clean,M3F200,0.5821977327158321,0.027586206896551724,0.0031847133757961785,0.12413793103448276,0.03821656050955414,0.12413793103448276,0.03821656050955414
2,7703,clean,adaptive_transfer,0.3063337379522243,0.0,0.009554140127388535,0.041379310344827586,0.041401273885350316,0.041379310344827586,0.041401273885350316
2,7703,ordinary_aug,cleanM0,0.7989300136887588,0.3310344827586207,0.006369426751592357,0.6275862068965518,0.07961783439490445,0.6689655172413793,0.18152866242038215
2,7703,ordinary_aug,F200,0.7200445687565313,0.6758620689655173,0.16560509554140126,0.9172413793103448,0.46496815286624205,0.9655172413793104,0.5923566878980892
2,7703,ordinary_aug,M3F200,0.7337513195710811,0.7379310344827587,0.21337579617834396,0.9724137931034482,0.554140127388535,0.993103448275862,0.6878980891719745
2,7703,ordinary_aug,adaptive_transfer,0.9190452684403644,0.4206896551724138,0.006369426751592357,0.8758620689655172,0.07961783439490445,0.9517241379310345,0.18152866242038215
2,7703,source_balanced_aug,cleanM0,0.8923353126464183,0.2620689655172414,0.0031847133757961785,0.9103448275862069,0.09872611464968153,0.9310344827586207,0.10191082802547771
