0x2cc0V0x114dV0x3ff	0x2cc8B0x114dB0x3ff
0x2cc4V0x114dV0x3ff	0x2c8fB0x114dB0x3ff
0x2c9eV0x114dV0x3ff	0x2ca6B0x114dB0x3ff
0x2ca2V0x114dV0x3ff	0x2c67B0x114dB0x3ff
0x2c91V0x114dV0x3ff	0x2c9bB0x114dB0x3ff
0x1722V0xec5V0x3ff	0x1729B0xec5B0x3ff
0x172bV0xec5V0x3ff	0x1760B0xec5B0x3ff
0x2d6dV0x1229V0x3ff	0x2d77B0x1229B0x3ff
0x2d73V0x1229V0x3ff	0x2d47B0x1229B0x3ff
0x2d55V0x1229V0x3ff	0x2d5fB0x1229B0x3ff
0x2d49V0x1229V0x3ff	0x2d52B0x1229B0x3ff
0x2d4eV0x1229V0x3ff	0x2d3dB0x1229B0x3ff
0x2dffV0x1386V0x3ff	0x2e0aB0x1386B0x3ff
0x2da1V0x1386V0x3ff	0x2dabB0x1386B0x3ff
0x2dacV0x1386V0x3ff	0x2db4B0x1386B0x3ff
0x2dcaV0x1386V0x3ff	0x2dd3B0x1386B0x3ff
0x2dd6V0x1386V0x3ff	0x2de3B0x1386B0x3ff
0x2de4V0x1386V0x3ff	0x2decB0x1386B0x3ff
0x2e13V0x1386V0x3ff	0x2e1dB0x1386B0x3ff
0x2e19V0x1386V0x3ff	0x2d93B0x1386B0x3ff
0x2e20V0x1386V0x3ff	0x2e2cB0x1386B0x3ff
0x2d95V0x1386V0x3ff	0x2d9eB0x1386B0x3ff
0x2e35V0x1386V0x3ff	0x2e3eB0x1386B0x3ff
0x2e3aV0x1386V0x3ff	0x2dbfB0x1386B0x3ff
0x2dc1V0x1386V0x3ff	0x2dc9B0x1386B0x3ff
0x1eceV0x2dd3V0x1386V0x3ff	0x1ee4B0x2dd3B0x1386B0x3ff
0x1ee0V0x2dd3V0x1386V0x3ff	0x1ec9B0x2dd3B0x1386B0x3ff
0x20f3V0x2df7V0x1386V0x3ff	0x20fbB0x2df7B0x1386B0x3ff
0x1a03V0x2e1dV0x1386V0x3ff	0x1a0bB0x2e1dB0x1386B0x3ff
0x2e6bV0x17a6	0x2e76B0x17a6
0x2e77V0x17a6	0x2e83B0x17a6
0x2e84V0x17a6	0x2e90B0x17a6
0x2e91V0x17a6	0x2e9dB0x17a6
0x2e9eV0x17a6	0x2eaaB0x17a6
0x1a34V0x2e63V0x17a6	0x1a3cB0x2e63B0x17a6
0x1a34V0x2e76V0x17a6	0x1a3cB0x2e76B0x17a6
0x1a34V0x2e83V0x17a6	0x1a3cB0x2e83B0x17a6
0x20f3V0x2e90V0x17a6	0x20fbB0x2e90B0x17a6
0x2597V0x2e9dV0x17a6	0x259fB0x2e9dB0x17a6
0x1ad1V0x2596V0x2e9dV0x17a6	0x1ad9B0x2596B0x2e9dB0x17a6
0x2583V0x6fa	0x258dB0x6fa
0x2515V0x2574V0x6fa	0x251dB0x2574B0x6fa
0x2519V0x2574V0x6fa	0x242eB0x2574B0x6fa
0x2538V0x2574V0x6fa	0x2542B0x2574B0x6fa
0x2545V0x2574V0x6fa	0x254dB0x2574B0x6fa
0x2549V0x2574V0x6fa	0x24f4B0x2574B0x6fa
0x255eV0x2574V0x6fa	0x2520B0x2574B0x6fa
0x2525V0x2574V0x6fa	0x2562B0x2574B0x6fa
0x2502V0x2574V0x6fa	0x250bB0x2574B0x6fa
0x252eV0x2574V0x6fa	0x2537B0x2574B0x6fa
0x24a9V0x2529V0x2574V0x6fa	0x248eB0x2529B0x2574B0x6fa
0x24d1V0x2529V0x2574V0x6fa	0x2486B0x2529B0x2574B0x6fa
0x24e7V0x2529V0x2574V0x6fa	0x248aB0x2529B0x2574B0x6fa
0x24caV0x2529V0x2574V0x6fa	0x24d6B0x2529B0x2574B0x6fa
0x24e0V0x2529V0x2574V0x6fa	0x24ecB0x2529B0x2574B0x6fa
0x24a2V0x2529V0x2574V0x6fa	0x24aeB0x2529B0x2574B0x6fa
0x2453V0x2537V0x2574V0x6fa	0x245dB0x2537B0x2574B0x6fa
0x245eV0x2537V0x2574V0x6fa	0x2466B0x2537B0x2574B0x6fa
0x2447V0x2537V0x2574V0x6fa	0x2450B0x2537B0x2574B0x6fa
0x2473V0x2537V0x2574V0x6fa	0x247dB0x2537B0x2574B0x6fa
0x2479V0x2537V0x2574V0x6fa	0x2445B0x2537B0x2574B0x6fa
0x25adV0x723	0x25b8B0x723
0x25b9V0x723	0x25c5B0x723
0x25c6V0x723	0x25d2B0x723
0x25d3V0x723	0x25dfB0x723
0x25e0V0x723	0x25ecB0x723
0x25edV0x723	0x25f9B0x723
0x1a34V0x25a5V0x723	0x1a3cB0x25a5B0x723
0x1a34V0x25b8V0x723	0x1a3cB0x25b8B0x723
0x1a34V0x25c5V0x723	0x1a3cB0x25c5B0x723
0x1a34V0x25d2V0x723	0x1a3cB0x25d2B0x723
0x20f3V0x25ecV0x723	0x20fbB0x25ecB0x723
0x2597V0x25dfV0x723	0x259fB0x25dfB0x723
0x1ad1V0x2596V0x25dfV0x723	0x1ad9B0x2596B0x25dfB0x723
