family_id,n,pos,seq_advantage
F00691,6,0,0.23881278538812786
F01072,1,0,0.23721461187214612
F01281,1,0,0.23675799086757993
F00106,1,1,0.23447488584474885
F00664,32,0,0.23397545662100458
F01326,1,0,0.23310502283105022
F00170,1,1,0.23036529680365292
F01235,1,0,0.22853881278538812
F00749,1,0,0.22762557077625573
F01066,1,0,0.2271689497716895
F01050,1,0,0.22625570776255707
F01276,2,0,0.22100456621004566
F01015,3,0,0.219558599695586
F00765,1,0,0.21621004566210045
F00832,1,0,0.21575342465753425
F01069,1,0,0.2155251141552511
F01192,1,0,0.21529680365296805
F01312,1,0,0.21438356164383562
F01169,1,0,0.2134703196347032
F01028,1,0,0.21301369863013697
F01240,1,0,0.21210045662100457
F00897,1,0,0.21164383561643835
F00688,1,0,0.21118721461187215
F00988,1,0,0.21073059360730595
F00665,12,0,0.21054033485540335
F01204,1,0,0.20981735159817352
F01151,1,0,0.20936073059360732
F00182,1,1,0.20890410958904104
F00817,2,0,0.20867579908675798
F01294,1,0,0.20867579908675793
F00117,1,1,0.20844748858447482
F00737,1,0,0.2073059360730593
F01035,1,0,0.20684931506849313
F01277,1,0,0.20684931506849308
F00068,4,4,0.2067351598173515
F01251,1,0,0.20662100456621005
F00729,4,0,0.20525114155251145
F00891,1,0,0.20479452054794522
F00849,1,0,0.2034246575342466
F00210,1,1,0.2027397260273972
F01269,1,0,0.20159817351598175
F00702,2,0,0.2009132420091324
F00871,1,0,0.2006849315068493
F00144,1,1,0.20022831050228307
F00928,1,0,0.1997716894977169
F00137,1,1,0.19977168949771684
F00949,1,0,0.19840182648401827
F00025,3,3,0.19840182648401816
F00773,1,0,0.19703196347031965
F00115,1,1,0.19589041095890403
F00008,39,39,0.195439644069781
F01175,1,0,0.19292237442922375
F00072,1,1,0.19246575342465744
F01025,1,0,0.19200913242009132
F00753,1,0,0.19132420091324198
F00922,1,0,0.18378995433789955
F00798,1,0,0.18333333333333335
F01233,1,0,0.18219178082191784
F00163,1,1,0.18219178082191778
F00057,1,1,0.18105022831050221
F01274,1,0,0.18013698630136987
F00156,1,1,0.17990867579908676
F00126,1,1,0.1789954337899543
F00084,1,1,0.1787671232876712
F01044,1,0,0.17831050228310502
F00135,1,1,0.17808219178082185
F00917,2,0,0.17762557077625574
F00828,2,0,0.17671232876712328
F00940,1,0,0.17602739726027397
F00066,7,7,0.17517938682322237
F00083,2,2,0.17488584474885838
F00875,1,0,0.17465753424657535
F00116,7,7,0.173972602739726
F01091,1,0,0.17374429223744292
F01221,2,0,0.17351598173515984
F01055,1,0,0.17328767123287672
F00093,1,1,0.17054794520547945
F00098,2,2,0.16917808219178077
F00022,9,9,0.16823947234906134
F00037,6,6,0.16735159817351597
F00121,3,3,0.16666666666666663
F00677,5,0,0.16598173515981735
F00957,1,0,0.1632420091324201
F01063,1,0,0.16278538812785387
F01013,1,0,0.16232876712328767
F00732,1,0,0.16187214611872147
F01289,1,0,0.16141552511415524
F00724,8,0,0.16118721461187213
F01304,1,0,0.16095890410958905
F01253,1,0,0.16050228310502285
F00806,3,0,0.16035007610350077
F01147,1,0,0.16004566210045668
F01103,1,0,0.16004566210045662
F00145,2,2,0.15913242009132422
F01001,1,0,0.158675799086758
F00113,2,2,0.15821917808219177
F01283,1,0,0.15776255707762557
F00205,1,1,0.15776255707762554
F01237,1,0,0.15730593607305937
